total plan length,run success,costs,time measures,pick counts,deliver counts,domain name,problem name,iteration time,transitions per iteration,planner name,search engine name,heuristic name
180,TRUE,"[995, 2375, 4291, 5836, 7367, 8822, 10391, 12100, 13367, 14614, 16051, 17345, 18800, 20002, 20940, 22239, 23433, 24525]","[121.07666635513306, 242.1484396457672, 363.2136628627777, 484.28050088882446, 605.3406388759613, 726.4238572120667, 847.4993414878845, 968.5883438587189, 1089.6461610794067, 1210.7400288581848, 1331.8235578536987, 1452.8958456516266, 1574.0173621177673, 1695.0935716629028, 1816.186597585678, 1937.275672197342, 2058.388972759247, 2179.485500097275]","[4, 7, 12, 15, 17, 21, 22, 24, 27, 28, 31, 31, 31, 32, 32, 35, 35, 39]","[0, 1, 4, 4, 6, 10, 12, 17, 18, 20, 23, 23, 25, 27, 28, 29, 30, 32]",Cars,Cars 2,120,10,Search Based,Greedy,None
60,TRUE,"[172, 418, 697, 1059, 1622, 2178]","[120.64175796508789, 241.7159469127655, 362.7692904472351, 483.8449718952179, 604.9210352897644, 725.9948694705963]","[4, 7, 8, 9, 17, 18]","[1, 4, 6, 7, 8, 11]",MotorCycles and Letters,MotorCycles and Letters 1,120,10,Search Based,Greedy,None
90,TRUE,"[135, 340, 482, 708, 882, 1107, 1552, 2148, 2612]","[121.04259443283081, 242.13439965248108, 363.20818567276, 484.2768177986145, 605.3471155166626, 726.4244902133942, 847.5175499916077, 968.580108165741, 1089.6699225902557]","[4, 5, 7, 11, 14, 19, 27, 32, 35]","[1, 2, 3, 4, 5, 6, 7, 10, 13]",Rail System Factory,Rail System Factory 1,120,10,Search Based,Greedy,None
50,TRUE,"[248, 657, 1277, 2157, 3069]","[120.52703332901001, 241.04902148246765, 361.5841238498688, 482.1070890426636, 602.6298310756683]","[2, 4, 4, 4, 5]","[1, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 1,120,10,Search Based,UCT,None
50,TRUE,"[226, 598, 1233, 2107, 3022]","[120.53101015090942, 241.04941773414612, 361.57377338409424, 482.1032054424286, 602.621417760849]","[2, 2, 2, 3, 4]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 1,120,10,Search Based,UCT,None
50,TRUE,"[312, 837, 1560, 2582, 3786]","[120.51944398880005, 241.05272507667542, 361.5781810283661, 482.1026439666748, 602.6302378177643]","[3, 4, 4, 4, 6]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 2,120,10,Search Based,UCT,None
50,TRUE,"[305, 901, 1632, 2622, 3650]","[120.52654719352722, 241.04682421684265, 361.567754983902, 482.0951838493347, 602.6196684837341]","[3, 3, 4, 4, 6]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 2,120,10,Search Based,UCT,None
130,TRUE,"[854, 2780, 5402, 8572, 11764, 15045, 18405, 22049, 25784, 29709, 33492, 37165, 41080]","[120.51973605155945, 241.05370807647705, 361.58603143692017, 482.127658367157, 602.6692390441895, 723.2087965011597, 843.7457423210144, 964.2840778827667, 1084.8369662761688, 1205.3912560939789, 1325.9528305530548, 1446.512226343155, 1567.077168226242]","[9, 11, 13, 14, 16, 17, 18, 20, 21, 21, 22, 23, 24]","[1, 2, 3, 5, 5, 7, 9, 10, 11, 12, 13, 14, 14]",Trucks and Drones,Trucks and Drones 3,120,10,Search Based,UCT,None
130,TRUE,"[853, 2920, 5567, 8764, 12052, 15378, 18988, 22883, 27057, 31361, 35753, 39723, 44037]","[120.5267322063446, 241.0537941455841, 361.57514238357544, 482.09156012535095, 602.6283538341522, 723.1627240180969, 843.7013006210327, 964.2337446212769, 1084.7677116394043, 1205.3043761253357, 1325.8555500507355, 1446.4011633396149, 1566.9514918327332]","[7, 7, 7, 8, 11, 13, 15, 16, 17, 18, 18, 19, 20]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 12]",Trucks and Drones,Trucks and Drones 3,120,10,Search Based,UCT,None
50,TRUE,"[276, 586, 1065, 1459, 2075]","[120.40434384346008, 240.9113073348999, 361.4112777709961, 481.91499853134155, 602.4200837612152]","[3, 6, 7, 12, 14]","[2, 3, 6, 8, 9]",Cars,Cars 1,120,10,Search Based,UCT,None
50,TRUE,"[292, 641, 1172, 1674, 2268]","[120.37497353553772, 240.8805205821991, 361.3812654018402, 481.88129138946533, 602.3824293613434]","[3, 4, 7, 9, 10]","[2, 2, 5, 7, 9]",Cars,Cars 1,120,10,Search Based,UCT,None
180,TRUE,"[954, 2746, 4508, 6314, 7629, 9400, 10865, 12159, 13596, 14826, 16098, 17317, 18407, 19830, 21247, 22269, 23385, 24429]","[120.51755213737488, 241.02227115631104, 361.5379230976105, 482.0738399028778, 602.5937166213989, 723.1116230487823, 843.6428446769714, 964.1600856781006, 1084.6932508945465, 1205.225327014923, 1325.7421245574951, 1446.274120092392, 1566.8112750053406, 1687.3433210849762, 1807.8769145011902, 1928.4223651885986, 2048.957539319992, 2169.496237516403]","[6, 11, 13, 14, 18, 19, 22, 24, 25, 26, 26, 26, 29, 30, 31, 35, 35, 37]","[0, 2, 3, 6, 11, 11, 14, 16, 18, 19, 21, 23, 25, 26, 29, 30, 33, 34]",Cars,Cars 2,120,10,Search Based,UCT,None
180,TRUE,"[1010, 2721, 4527, 6392, 8142, 10131, 11585, 13331, 14748, 16270, 17753, 19144, 20336, 21623, 22929, 24301, 25431, 26802]","[120.50380325317383, 241.00811004638672, 361.5272641181946, 482.0428957939148, 602.5620384216309, 723.0925223827362, 843.611718416214, 964.1296918392181, 1084.6476290225983, 1205.167997598648, 1325.6843836307526, 1446.204320192337, 1566.7355720996857, 1687.2762310504913, 1807.8157284259796, 1928.3493359088898, 2048.8962066173553, 2169.4309799671173]","[6, 8, 11, 14, 15, 17, 18, 18, 24, 25, 26, 28, 29, 29, 32, 33, 34, 35]","[0, 1, 2, 4, 5, 9, 11, 15, 15, 18, 20, 22, 23, 25, 25, 26, 30, 30]",Cars,Cars 2,120,10,Search Based,UCT,None
60,TRUE,"[172, 394, 651, 1013, 1469, 1803]","[120.35940480232239, 240.86132216453552, 361.36407566070557, 481.8675768375397, 602.376806974411, 722.8861808776855]","[3, 5, 8, 10, 15, 19]","[2, 5, 8, 10, 12, 17]",MotorCycles and Letters,MotorCycles and Letters 1,120,10,Search Based,UCT,None
60,TRUE,"[158, 402, 741, 1063, 1448, 1836]","[120.36557221412659, 240.86888980865479, 361.38451409339905, 481.88527154922485, 602.4032483100891, 722.922336101532]","[4, 6, 9, 14, 17, 22]","[3, 4, 6, 10, 14, 15]",MotorCycles and Letters,MotorCycles and Letters 1,120,10,Search Based,UCT,None
90,TRUE,"[126, 280, 380, 560, 686, 841, 1181, 1653, 2049]","[120.52031445503235, 241.02230310440063, 361.5222964286804, 482.05351638793945, 602.5735063552856, 723.0875856876373, 843.6153688430786, 964.1337394714355, 1084.6576251983643]","[5, 10, 12, 19, 22, 27, 34, 41, 49]","[1, 2, 2, 3, 5, 6, 8, 11, 12]",Rail System Factory,Rail System Factory 1,120,10,Search Based,UCT,None
90,TRUE,"[150, 350, 540, 850, 1160, 1535, 2205, 3070, 3831]","[120.52029490470886, 241.02033305168152, 361.5515444278717, 482.06756234169006, 602.5988395214081, 723.1300842761993, 843.66406416893, 964.195282459259, 1084.710936307907]","[5, 8, 11, 16, 22, 26, 34, 40, 46]","[0, 1, 1, 1, 1, 2, 2, 3, 6]",Rail System Factory,Rail System Factory 1,120,10,Search Based,UCT,None
50,TRUE,"[201, 641, 1302, 2165, 3066]","[120.51604175567627, 241.0316665172577, 361.5383348464966, 482.0406537055969, 602.5406625270844]","[2, 3, 4, 4, 6]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 1,120,10,Search Based,Greedy,None
50,TRUE,"[224, 653, 1269, 2136, 3098]","[120.53078103065491, 241.04218411445618, 361.54218912124634, 482.04608631134033, 602.5620968341827]","[1, 3, 3, 4, 6]","[1, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 1,120,10,Search Based,Greedy,None
50,TRUE,"[317, 972, 1721, 2753, 3918]","[120.51600813865662, 241.01951432228088, 361.52497148513794, 482.0467233657837, 602.5646727085114]","[3, 4, 4, 4, 5]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 2,120,10,Search Based,Greedy,None
50,TRUE,"[296, 798, 1527, 2510, 3544]","[120.51839637756348, 241.0229468345642, 361.52372789382935, 482.04360580444336, 602.5623376369476]","[3, 4, 4, 4, 6]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 2,120,10,Search Based,Greedy,None
130,TRUE,"[863, 2853, 5371, 8475, 11803, 15144, 18846, 22793, 26963, 31533, 36125, 40485, 45427]","[120.50583219528198, 241.0260307788849, 361.545547246933, 482.06529116630554, 602.5813066959381, 723.1019601821899, 843.6197562217712, 964.1544923782349, 1084.692313671112, 1205.2243626117706, 1325.7653002738953, 1446.2992553710938, 1566.8316779136658]","[5, 7, 9, 11, 11, 11, 11, 12, 12, 13, 14, 14, 14]","[0, 2, 3, 4, 5, 6, 7, 7, 8, 9, 9, 9, 9]",Trucks and Drones,Trucks and Drones 3,120,10,Search Based,Greedy,None
130,TRUE,"[858, 2864, 5432, 8553, 11791, 14831, 17981, 21349, 24941, 28641, 32437, 35908, 39719]","[120.51562833786011, 241.03536558151245, 361.55330657958984, 482.0835394859314, 602.6127400398254, 723.1347560882568, 843.6691062450409, 964.1858503818512, 1084.724095582962, 1205.2584438323975, 1325.7930302619934, 1446.3257868289948, 1566.8807833194733]","[7, 7, 8, 10, 14, 14, 16, 17, 18, 20, 20, 21, 22]","[0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 13, 14, 15]",Trucks and Drones,Trucks and Drones 3,120,10,Search Based,Greedy,None
50,TRUE,"[195, 493, 1034, 1459, 2202]","[120.35973358154297, 240.8639895915985, 361.3796133995056, 481.88039922714233, 602.3725655078888]","[3, 6, 7, 8, 10]","[2, 2, 4, 7, 8]",Cars,Cars 1,120,10,Search Based,Greedy,None
50,TRUE,"[197, 462, 1019, 1678, 2190]","[120.37500286102295, 240.87503600120544, 361.39065885543823, 481.90370178222656, 602.4075360298157]","[4, 6, 8, 9, 13]","[2, 3, 6, 7, 9]",Cars,Cars 1,120,10,Search Based,Greedy,None
180,TRUE,"[1032, 2383, 3736, 5174, 6677, 8196, 9451, 10673, 12110, 13416, 14521, 15581, 16819, 18007, 19074, 20088, 21249, 22151]","[120.5174708366394, 241.0412449836731, 361.5416238307953, 482.0680720806122, 602.5993223190308, 723.1185350418091, 843.6372678279877, 964.1529297828674, 1084.6732258796692, 1205.1888818740845, 1325.7123293876648, 1446.2286994457245, 1566.772720336914, 1687.3122029304504, 1807.8590795993805, 1928.394285440445, 2048.925491809845, 2169.46023273468]","[7, 9, 14, 14, 20, 22, 23, 23, 24, 27, 28, 31, 33, 35, 37, 38, 38, 40]","[2, 3, 5, 8, 9, 13, 14, 17, 20, 22, 24, 27, 28, 29, 30, 30, 32, 33]",Cars,Cars 2,120,10,Search Based,Greedy,None
